co2,demand,pv
30,1.324,0
30.06896552,1.32,0
30.13793103,1.318,0
30.20689655,1.32,0
30.27586207,1.312,0
30.34482759,1.314,0
30.4137931,1.316,0
30.48275862,1.318,0
30.55172414,1.254,0
30.62068966,1.254,0
30.68965517,1.252,0
30.75862069,1.206,0
30.82758621,0.194,0
30.89655172,0.194,0
30.96551724,0.194,0
31.03448276,0.194,0
31.10344828,0.194,0
31.17241379,0.194,0
31.24137931,0.194,0
31.31034483,0.194,0
31.37931034,0.194,0
31.44827586,0.194,0
31.51724138,0.292,0
31.5862069,0.304,0
31.65517241,0.3,0
31.72413793,0.298,0
31.79310345,0.296,0
31.86206897,0.294,0
31.93103448,0.294,0
32,0.294,0
32,0.292,0
31.96551724,0.292,0
31.93103448,0.29,0
31.89655172,0.29,0
31.86206897,0.29,0
31.82758621,0.29,0
31.79310345,0.29,0
31.75862069,0.288,0
31.72413793,0.288,0
31.68965517,0.262,0
31.65517241,0.272,0
31.62068966,0.272,0
31.5862069,0.272,0
31.55172414,0.272,0
31.51724138,0.27,0
31.48275862,0.27,0
31.44827586,0.268,0
31.4137931,0.266,0
31.37931034,0.266,0
31.34482759,0.266,0
31.31034483,0.222,0
31.27586207,0.194,0
31.24137931,0.194,0
31.20689655,0.194,0
31.17241379,0.194,0
31.13793103,0.194,0
31.10344828,0.194,0
31.06896552,0.196,0
31.03448276,0.196,0
31,0.196,0
31,0.196,0
30.93103448,0.196,0
30.86206897,0.194,0
30.79310345,0.194,0
30.72413793,0.294,0
30.65517241,0.306,0
30.5862069,0.302,0
30.51724138,0.3,0
30.44827586,0.298,0
30.37931034,0.296,0
30.31034483,0.296,0
30.24137931,0.294,0
30.17241379,0.294,0
30.10344828,0.292,0
30.03448276,0.29,0
29.96551724,0.292,0
29.89655172,0.29,0
29.82758621,0.29,0
29.75862069,0.29,0
29.68965517,0.29,0
29.62068966,0.288,0
29.55172414,0.224,0
29.48275862,0.256,0
29.4137931,0.272,0
29.34482759,0.272,0
29.27586207,0.272,0
29.20689655,0.272,0
29.13793103,0.27,0
29.06896552,0.27,0
29,0.268,0
29,0.268,0
28.96551724,0.266,0
28.93103448,0.256,0
28.89655172,0.196,0
28.86206897,0.196,0
28.82758621,0.196,0
28.79310345,0.196,0
28.75862069,0.196,0
28.72413793,0.196,0
28.68965517,0.196,0
28.65517241,0.238,0
28.62068966,0.282,0
28.5862069,0.28,0
28.55172414,0.28,0
28.51724138,0.282,0
28.48275862,0.282,0
28.44827586,0.31,0
28.4137931,0.392,0
28.37931034,0.388,0
28.34482759,0.386,0
28.31034483,0.382,0
28.27586207,0.382,0
28.24137931,0.378,0
28.20689655,0.376,0
28.17241379,0.374,0
28.13793103,0.372,0
28.10344828,0.37,0
28.06896552,0.368,0
28.03448276,0.368,0
28,0.368,0
28,0.368,0
27.93103448,0.368,0
27.86206897,0.366,0
27.79310345,0.366,0
27.72413793,0.282,0
27.65517241,0.346,0
27.5862069,0.35,0
27.51724138,0.348,0
27.44827586,0.348,0
27.37931034,0.35,0
27.31034483,0.348,0
27.24137931,0.346,0
27.17241379,0.344,0
27.10344828,0.344,0
27.03448276,0.342,0
26.96551724,0.302,0
26.89655172,0.272,0
26.82758621,0.272,0
26.75862069,0.27,0
26.68965517,0.27,0
26.62068966,0.27,0
26.55172414,0.272,0
26.48275862,0.272,0
26.4137931,0.272,0
26.34482759,0.272,0
26.27586207,0.272,0
26.20689655,0.272,0
26.13793103,0.272,0
26.06896552,0.272,0
26,0.366,0
26,0.382,0
26,0.378,0
26,0.376,0
26,0.374,0
26,0.374,0
26,0.372,0
26,0.372,0
26,0.368,0
26,0.368,0
26,0.368,0
26,0.366,0
26,0.308,0
26,0.296,0
26,0.296,0
26,0.298,0
26,0.298,0
26,0.244,0
26,0.266,0
26,0.28,0
26,0.282,0
26,0.28,0
26,0.28,0
26,0.278,0
26,0.276,0
26,0.274,0
26,0.274,0
26,0.272,0
26,0.236,0
26,0.2,0
26,0.2,0
26,0.2,0
25.93103448,0.202,0
25.86206897,0.202,0
25.79310345,0.2,0
25.72413793,0.2,0
25.65517241,0.2,0
25.5862069,0.2,0
25.51724138,0.2,0
25.44827586,0.198,0
25.37931034,0.2,0
25.31034483,0.2,0
25.24137931,0.224,0
25.17241379,0.312,0
25.10344828,0.31,0
25.03448276,0.306,0
24.96551724,0.304,0
24.89655172,0.302,0
24.82758621,0.302,0
24.75862069,0.3,0
24.68965517,0.298,0
24.62068966,0.296,0
24.55172414,0.296,0
24.48275862,0.294,0
24.4137931,0.294,0
24.34482759,0.294,0
24.27586207,0.294,0
24.20689655,0.294,0
24.13793103,0.294,0
24.06896552,0.29,0
24,0.218,0
24,0.278,0
24.03448276,0.278,0
24.06896552,0.278,0
24.10344828,0.278,0
24.13793103,0.276,0
24.17241379,0.276,0
24.20689655,0.274,0
24.24137931,0.272,0
24.27586207,0.27,0
24.31034483,0.272,0
24.34482759,0.202,0
24.37931034,0.198,0
24.4137931,0.198,0
24.44827586,0.198,0
24.48275862,0.198,0
24.51724138,0.198,0
24.55172414,0.198,0
24.5862069,0.198,0
24.62068966,0.198,0
24.65517241,0.2,0
24.68965517,0.2,0
24.72413793,0.2,0
24.75862069,0.2,0
24.79310345,0.198,0
24.82758621,0.282,0
24.86206897,0.31,0
24.89655172,0.304,0
24.93103448,0.302,0
24.96551724,0.3,0
25,0.298,0
25,0.296,0
25,0.296,0
25,0.296,0
25,0.298,0
25,0.298,0
25,0.298,0
25,0.298,0
25,0.298,0
25,0.296,0
25,0.296,0
25,0.296,0
25,0.224,0
25,0.236,0
25,0.276,0
25,0.276,0
25,0.276,0
25,0.274,0
25,0.274,0
25,0.272,0
25,0.272,0
25,0.27,0
25,0.27,0
25,0.252,0
25,0.198,0
25,0.2,0
25,0.22,0
25,0.218,0
25,0.2,0
25,0.198,0
