co2,demand,pv
99,0.25815,0
99.3,0.25755,0
99.6,0.258,0
99.9,0.2575,0
100.2,0.258,0
100.5,0.25665,0
100.8,0.3435,0
101.1,0.341333333,0
101.4,0.3396,0
101.7,0.3435,0
102,0.3486,0
102.3,0.34875,0
102.6,0.348833333,0
102.9,0.34695,0
103.2,0.34575,0
103.5,0.3477,0
103.8,0.345,0
104.1,0.3444,0
104.4,0.343,0
104.7,0.342,0
105,0.34605,0
105.3,0.3445,0
105.6,0.34485,0
105.9,0.3447,0
106.2,0.343833333,0
106.5,0.3447,0
106.8,0.343666667,0
107.1,0.34395,0
107.4,0.3441,0
107.7,0.3441,0
108,0.349285714,0
108.1,0.34755,0
108.2,0.34245,0
108.3,0.3399,0
108.4,0.3385,0
108.5,0.3378,0
108.6,0.2805,0
108.7,0.2559,0
108.8,0.2559,0
108.9,0.2555,0
109,0.25575,0
109.1,0.2553,0
109.2,0.256,0
109.3,0.2562,0
109.4,0.256166667,0
109.5,0.2562,0
109.6,0.2562,0
109.7,0.25605,0
109.8,0.25515,0
109.9,0.25425,0
110,0.2541,0
110.1,0.255,0
110.2,0.25455,0
110.3,0.2544,0
110.4,0.255166667,0
110.5,0.25455,0
110.6,0.2544,0
110.7,0.25515,0
110.8,0.255,0
110.9,0.2544375,0
111,0.25665,0
111.1,0.25665,0
111.2,0.25695,0
111.3,0.2571,0
111.4,0.257166667,0
111.5,0.2562,0
111.6,0.25635,0
111.7,0.25635,0
111.8,0.25575,0
111.9,0.2551875,0
112,0.25545,0
112.1,0.255333333,0
112.2,0.2556,0
112.3,0.25515,0
112.4,0.2565,0
112.5,0.2556,0
112.6,0.2562,0
112.7,0.2568,0
112.8,0.2565,0
112.9,0.2565,0
113,0.2559375,0
113.1,0.2565,0
113.2,0.31605,0
113.3,0.34335,0
113.4,0.342,0
113.5,0.343666667,0
113.6,0.3423,0
113.7,0.34125,0
113.8,0.339,0
113.9,0.338166667,0
114,0.33675,0
114,0.3345,0
114,0.316833333,0
114,0.25545,0
114,0.25605,0
114,0.25485,0
114,0.255833333,0
114,0.25425,0
114,0.2544,0
114,0.25485,0
114,0.25515,0
114,0.2555,0
114,0.2547,0
114,0.255,0
114,0.25515,0
114,0.255666667,0
114,0.2559,0
114,0.2556,0
114,0.25545,0
114,0.25605,0
114,0.254833333,0
114,0.25515,0
114,0.2556,0
114,0.255,0
114,0.2553,0
114,0.254666667,0
114,0.254666667,0
114,0.2547,0
114,0.2545,0
114,0.254666667,0
114,0.25605,0
113.9666667,0.25635,0
113.9333333,0.255833333,0
113.9,0.2562,0
113.8666667,0.2559375,0
113.8333333,0.255333333,0
113.8,0.2938125,0
113.7666667,0.3483,0
113.7333333,0.3369,0
113.7,0.34005,0
113.6666667,0.3441,0
113.6333333,0.345166667,0
113.6,0.34965,0
113.5666667,0.345,0
113.5333333,0.34215,0
113.5,0.344785714,0
113.4666667,0.34095,0
113.4333333,0.3414,0
113.4,0.34125,0
113.3666667,0.3415,0
113.3333333,0.340666667,0
113.3,0.34305,0
113.2666667,0.34215,0
113.2333333,0.3435,0
113.2,0.3429,0
113.1666667,0.34395,0
113.1333333,0.34215,0
113.1,0.3425,0
113.0666667,0.3438,0
113.0333333,0.3429,0
113,0.34575,0
113.3,0.3462,0
113.6,0.342,0
113.9,0.3402,0
114.2,0.339,0
114.5,0.3387,0
114.8,0.338166667,0
115.1,0.2724,0
115.4,0.25635,0
115.7,0.256,0
116,0.256666667,0
116.3,0.25635,0
116.6,0.54195,0
116.9,0.5739,0
117.2,0.5755,0
117.5,0.574666667,0
117.8,0.573,0
118.1,0.57225,0
118.4,0.574666667,0
118.7,0.5739,0
119,0.57315,0
119.3,0.5736,0
119.6,0.5718,0
119.9,0.572833333,0
120.2,0.327166667,0
120.5,0.25785,0
120.8,0.2571,0
121.1,0.25665,0
121.4,0.25725,0
121.7,0.257,0
122,0.25755,0
122.6,0.25815,0
123.2,0.25905,0
123.8,0.2589,0
124.4,0.258333333,0
125,0.25725,0
125.6,0.2565,0
126.2,0.3525,0
126.8,0.358166667,0
